row,requirement,feature,spec,importance,status,description_preview
38,2 취향 프로파일 온보딩,2.3 무드보드 취향 온보딩,,높음,작성중,"여행자는 9장이 배치된 무드보드에서 마음에 드는 사진 3장을 선택하는 라운드를 2회 수행해 취향 프로파일을 보완한다. A/B 비교가 두 장 사이의 상대 선호를 확인한다면, 무드보드는 여러 후보 중 사용자가 실제로 끌리는 조합을 확인해 축의 조합 선호를 파악한다. 기본 질문 응답 수집과 기존 개인 앨범 자동 분석은 포함하지"
39,2 취향 프로파일 온보딩,2.4 온보딩 이어하기,,높음,작성중,"온보딩을 중단한 여행자는 다음 진입 시 이전에 답한 지점부터 온보딩을 이어서 진행한다. 이 동작은 기본 질문 온보딩, A/B 사진 온보딩, 무드보드 온보딩 전체에 걸쳐 동일하게 적용되며, 이미 완료한 온보딩 흐름의 재시작은 포함하지 않는다. ※ 화면 미설계 — 디자인 필요 [개발 준비 슬롯] • 선행조건: - 여행자는 온"
40,3 홈,2.4 온보딩 이어하기,,높음,작성중,"여행자는 홈 화면에서 진행 중인 여정 요약과 가상 여권 도장 페이지를 확인하고, 여행 기록의 주요 진입점으로 이동한다. 이 영역은 진행 중인 여정 요약, 가상 여권 국가 방문 도장, 여행 계속하기를 포함하며, 세부 여행 기록 편집이나 포토북 상세 열람은 다른 영역에서 다루므로 포함하지 않는다. 1. ○ 여행자는 홈에서 진"
41,3 홈,3.1 진행 중인 여정 요약,,높음,작성중,"여행자는 홈 화면 상단에서 현재 진행 중인 여정의 이름, 기간, 누적 핀 수와 사진 수를 확인하고 여행 구간 관리로 이동한다. 이 기능은 진행 중인 여정 하나의 요약 표시와 진입점 제공에 한정하며, 구간 편집과 종료된 여정의 열람은 4번 영역에서 다룬다. [기능의 근거] 여행 중에는 지금까지 무엇이 쌓였는지 확인할 수단이"
42,3 홈,3.2 가상 여권 국가 방문 도장,,중간,작성중,"여행자는 홈 화면의 가상 여권 페이지에서 사진을 1회 이상 촬영한 국가마다 도장이 찍힌 형태로 방문 국가를 한눈에 확인한다. 도장을 선택하면 해당 국가로 필터링된 지도로 이동해 그 국가에서의 핀과 동선을 확인할 수 있다. 이 기능은 국가 단위의 방문 요약과 국가별 지도 진입에 한정하며, 도장 디자인 커스터마이징이나 국가 "
43,3 홈,3.3 여행 계속하기,,중간,작성중,"여행자는 홈 화면 상단의 여행 계속하기 진입점을 통해 진행 중인 여정에 이어서 촬영을 시작한다. NFC 태그가 없거나 태그 인식에 실패한 상황에서도 이 경로로 기록을 이어갈 수 있다. 이 기능은 촬영 흐름 진입에 한정하며, 이후의 촬영·저장 동작은 8번 영역과 동일하다. [기능의 근거] NFC 미지원 기기 사용자, 태그를"
44,4 여행 구간 구성 및 관리,3.3 여행 계속하기,,높음,작성중,"여행자는 여러 개의 핀 기록을 하나의 여행 구간으로 묶어 회고와 관리의 단위로 사용한다. 이 영역은 구간 목록과 요약 확인, 구간 이름·기간·포함 핀의 편집을 포함하며, 여러 여행자 간 공동 편집이나 여행 일정 추천은 포함하지 않는다. 1. ○ 여행자는 저장된 핀 기록을 선택하여 하나의 여행 구간을 생성할 수 있다. 2."
45,4 여행 구간 구성 및 관리,4.1 여행 구간 목록·요약,,높음,작성중,"여행자는 여행 구간 관리 화면에서 구간의 요약 지표(선택된 핀 수, 연결된 사진 수, 여행 기간)와 포함된 핀 기록 목록을 확인한다. 이 기능은 구간 요약과 핀 목록 조회에 한정하며, 구간 이름·기간·핀 구성의 편집은 4.2에서 다룬다. [기능의 근거] 핀이 쌓일수록 개별 핀만으로는 여행 전체의 규모를 파악하기 어렵다. "
46,4 여행 구간 구성 및 관리,4.2 구간 상세 및 편집,,높음,작성중,"여행자는 저장된 핀 기록을 선택해 하나의 여행 구간으로 묶고 이름·기간·포함 범위를 수정한다. 이 기능은 구간 이름 입력, 기간 지정, 포함 핀 범위 지정과 개별 핀의 포함·제외를 포함하며, 여러 여행자의 공동 편집이나 여행 일정 추천은 포함하지 않는다. [기능의 근거] 자동으로 묶인 구간이 사용자가 인식하는 여행 단위와"
47,5 여행 기록 탐색,4.2 구간 상세 및 편집,,높음,작성중,"여행자는 저장된 핀 기록과 여행 동선을 지도에서 탐색하고, 핀 상세에서 취향 기반 추천 사진과 촬영 맥락을 확인한다. 이 영역은 지도 뷰, 촬영량 기반 동선 표시, 핀 상세와 추천, 핀 전체 사진 보기, 주변 사진 추가를 포함하며, 포토북 생성과 열람은 6번 영역에서 다룬다. 1. ○ 여행자는 지도 진입 직후의 기본 배율"
48,5 여행 기록 탐색,5.1 지도 뷰,,높음,작성중,"여행자는 태깅으로 만든 핀 기록과 여행 동선을 지도에서 탐색하고, 핀을 선택해 상세 기록으로 이동한다. 지도는 축소 상태에서 방문 국가를 브랜드 컬러·패턴으로 구별해 표시하고, 확대 상태에서 촬영량에 따른 갈색 동선을 표시한다. 이 기능은 지도 표시와 핀 선택, 여행 구간 필터에 한정하며, 포토북 생성은 포함하지 않는다."
49,5 여행 기록 탐색,5.1 지도 뷰,5.1.1 촬영량 기반 갈색 동선 표시,높음,작성중,"여행자는 지도에서 핀들이 시간순으로 연결된 동선을 보며, 사진을 많이 찍은 구간은 진한 갈색으로, 상대적으로 적게 찍은 구간은 옅은 갈색으로 확인한다. 이 동작은 지도 뷰에서의 동선 렌더링과 색상 계산에 한정하며, 핀 상세 이동은 포함하지 않는다. [기능의 근거] 여행 동선을 선으로만 그리면 어디에 오래 머물렀는지가 드러"
50,5 여행 기록 탐색,5.1 지도 뷰,5.1.2 지도에서 핀 수동 입력,높음,작성중,"여행자는 지도 뷰 우측 상단의 핀 수동 입력 진입점을 통해 NFC 태깅 없이 새 핀을 만들고 촬영 흐름으로 진입한다. 이 기능은 지도에서의 수동 핀 생성 진입에 한정하며, 이후의 촬영과 저장은 8번 영역과 동일하다. [기능의 근거] 태그를 소지하지 않았거나 NFC 인식에 실패한 상황에서도 그 자리에서 기록을 남길 수 있어"
51,5 여행 기록 탐색,5.2 핀 상세,,높음,작성중,"여행자는 지도 또는 핀 목록에서 핀을 선택해 해당 순간의 대표 사진과 촬영 맥락, 시각, 장소 정보를 한 화면에서 확인하고, 취향 프로파일에 맞춘 대표 사진 3장 추천을 함께 본다. 이 기능은 핀 하나의 상세 기록 열람과 진입점 제공에 한정하며, 추천 생성·수정·재추천과 음성 재생은 하위 기능에서 다룬다. [기능의 근거]"
52,5 여행 기록 탐색,5.2 핀 상세,5.2.1 핀별 사진 추천,높음,작성중,"서비스는 각 핀에 연결된 사진에서 유사 사진을 줄이고 취향 프로파일에 따라 스코어링해 대표 사진 3장을 선정한다. 핀을 처음 열 때는 주변 1km 이내에서 태깅 없이 촬영한 사진을 추가로 업로드하도록 안내하고, 업로드가 이루어지면 같은 기준으로 다시 선정한다. 사진 보정이나 미학 점수 공개는 포함하지 않는다. [개발 준비"
53,5 여행 기록 탐색,5.2 핀 상세,5.2.2 추천 사진 수정 반영,높음,작성중,여행자는 핀별 추천 결과에서 사진을 추가하거나 제외해 최종 선별 결과를 조정한다. 수정 선택은 현재 핀의 결과를 바꾸고 이후 추천을 위한 취향 프로파일 보정 신호로 저장한다. ※ 화면 미설계 — 디자인 필요 [개발 준비 슬롯] • 선행조건: - 서비스가 핀별 추천 사진을 제시했다. • 트리거: - 여행자가 추천 결과의 수
54,5 여행 기록 탐색,5.2 핀 상세,5.2.3 추천 사진 재추천 요청,중간,작성중,"여행자는 핀 상세에서 재추천 받기를 선택해 같은 핀의 대표 사진 3장을 다시 선정받는다. 이 동작은 기존 추천 결과를 새 추천으로 교체하는 범위에 한정하며, 개별 사진의 추가·제외는 5.2.2에서 다룬다. [기능의 근거] 추천 결과가 마음에 들지 않을 때 사진을 하나씩 바꾸는 것은 노동이 다시 발생하는 일이다. 묶음 단위"
55,5 여행 기록 탐색,5.2 핀 상세,5.2.4 음성 메모 재생,중간,작성중,"여행자는 핀 상세와 포토북에서 해당 핀에 저장된 음성 메모를 재생해 촬영 당시 남긴 맥락을 다시 듣는다. 이 동작은 저장된 음성의 재생 제어에 한정하며, 음성 녹음과 저장은 8.2에서 다룬다. [기능의 근거] 텍스트로 옮겨 적은 기록은 그 순간의 어조와 즉흥성을 담지 못한다. 촬영 직후 남긴 목소리를 그대로 다시 들을 수"
56,5 여행 기록 탐색,5.3 핀 전체 사진 보기,,높음,작성중,"여행자는 핀 상세에서 이 핀의 모든 사진 보기를 선택해 해당 핀에 연결된 전체 사진을 확인한다. 사진은 태깅 세션 단위로 묶여 세션마다 촬영 일시를 헤더로 하고 가로 스크롤 슬라이드로 나열된다. 이 기능은 사진 열람에 한정하며, 추천 선정과 사진 추가는 다른 기능에서 다룬다. [기능의 근거] 추천 3장은 선별 노동을 줄이"
57,5 여행 기록 탐색,5.4 주변 사진 추가,,높음,작성중,"여행자는 핀을 기준으로 반경 1km 이내에서 촬영한 사진을 갤러리에서 선택해 같은 핀 기록에 추가한다. 이 기능은 반경 내 사진의 선택과 연결에 한정하며, 태깅하지 않은 사진을 자동으로 수집하거나 핀을 새로 생성하는 범위는 포함하지 않는다. [기능의 근거] 태깅 없이 일반 카메라로 찍은 사진이나 이전에 찍어둔 사진도 같은"
58,6 포토북 아카이브,5.4 주변 사진 추가,,높음,작성중,"서비스는 여행 종료를 자동으로 감지해 여정별·도시별 포토북을 생성하고, 여행자는 아카이빙 페이지에서 이를 목록으로 열람한다. 이 영역은 여행 종료 감지와 포토북 자동 생성, 포토북 목록, 여정별 포토북, 도시별 포토북 열람을 포함하며, 사용자의 직접 편집이나 인쇄 주문은 포함하지 않는다. 1. ○ 서비스는 여행 종료를 자"
59,6 포토북 아카이브,6.1 포토북 아카이빙 목록,,높음,작성중,"여행자는 아카이브 화면에서 생성된 포토북을 여행별과 도시별로 나누어 목록으로 확인하고 상세 포토북으로 이동한다. 이 기능은 목록 표시와 진입점 제공에 한정하며, 포토북의 생성 조건은 6.1.1에서 다룬다. [기능의 근거] 여행이 쌓일수록 개별 여정을 다시 찾기 어려워진다. 여행별과 도시별이라는 두 축으로 목록을 제공하면 "
60,6 포토북 아카이브,6.1 포토북 아카이빙 목록,6.1.1 여행 종료 감지 및 포토북 자동 생성,높음,작성중,"서비스는 마지막 태깅 이후 2주 동안 재사용이 없으면 해당 여정이 종료된 것으로 보고, 여정 전체 포토북과 방문 도시별 포토북을 자동으로 생성해 아카이빙 목록에 추가한다. 이 동작은 종료 판별과 생성 처리에 한정하며, 생성된 포토북의 열람은 6.2와 6.3에서 다룬다. [개발 준비 슬롯] • 선행조건: - 여행자에게 하나"
61,6 포토북 아카이브,6.2 여정별 포토북,,높음,작성중,"여행자는 하나의 여정 전체를 사진과 기록이 순서대로 배치된 포토북으로 열람한다. 상단에는 여정 이름·기간·총 일수와 방문 도시 목록, 여정 전체 동선 지도가 표시되고, 본문은 도시별 구획으로 나뉘어 선별된 핀의 사진과 텍스트 기록·음성 메모가 함께 배치되며, 하단에는 여정 통계가 표시된다. 이 기능은 열람에 한정하며 편집"
62,6 포토북 아카이브,6.3 도시별 포토북,,높음,작성중,"여행자는 특정 도시의 사진과 기록을 자유형 콜라주 레이아웃의 포토북으로 열람한다. 사진의 크기와 위치, 텍스트 기록의 배치와 여백 구성은 사진 수·비율·기록 유무에 따라 AI가 페이지 단위로 생성한다. 각 사진에서 자세히를 선택하면 해당 핀 상세로 이동한다. 이 기능은 열람과 이동에 한정하며 사용자의 레이아웃 편집은 포함"
63,7 마이페이지,6.3 도시별 포토북,,중간,작성중,"여행자는 마이페이지에서 자신의 프로필과 누적 여행 통계, 취향 프로파일 시각화, 등록된 MCM 제품 목록, 계정 설정을 한 화면에서 관리한다. 이 영역은 프로필·통계·프로파일 요약과 제품·계정 설정을 포함하며, 여행 기록 편집이나 포토북 열람은 각 영역에서 다루므로 포함하지 않는다. 1. ○ 여행자는 마이페이지에서 자신의"
64,7 마이페이지,7.1 프로필 및 여행 통계,,중간,작성중,"여행자는 마이페이지 상단에서 구글 계정 프로필과 누적 여행 통계(태깅 횟수, 완료 여정 수, 방문 도시 수)를 확인한다. 이 기능은 프로필과 집계 지표의 표시에 한정하며, 개별 여행 기록의 조회는 다른 영역에서 다룬다. [기능의 근거] 서비스를 쓸수록 무엇이 쌓이는지 숫자로 보여야 재사용 동기가 생긴다. 태깅 횟수는 이 "
65,7 마이페이지,7.2 취향 프로파일 시각화,,중간,작성중,"여행자는 마이페이지에서 자신의 취향 프로파일을 6개 축의 양극 슬라이더로 확인한다. 각 축은 서로 반대되는 두 성향 사이에서 현재 프로파일의 위치를 보여준다. 이 기능은 프로파일의 읽기 전용 표시에 한정하며, 값의 변경은 7.3 재학습과 5.2.2 추천 수정을 통해서만 이루어진다. [기능의 근거] 취향 프로파일은 추천 결"
66,7 마이페이지,7.3 취향 재학습,,중간,작성중,"여행자는 마이페이지의 재학습 진입점을 통해 취향 프로파일 온보딩을 다시 수행한다. 재학습을 완료하면 새 응답으로 프로파일이 교체되며, 이전 프로파일과 누적된 수정 신호는 초기화된다. 이 기능은 재학습 진입과 프로파일 교체에 한정하며, 온보딩 자체의 동작은 2번 영역과 동일하다. [기능의 근거] 사진 취향은 시간에 따라 바"
67,7 마이페이지,7.4 내 MCM 제품 관리,,중간,작성중,"여행자는 마이페이지에서 자신의 계정에 등록된 MCM NFC 제품 목록과 제품별 누적 태깅 횟수를 확인한다. 이 기능은 등록된 제품의 조회에 한정하며, 새 제품의 등록은 7.5에서 다룬다. [기능의 근거] 여러 제품에 태그가 들어 있을 때 어떤 제품으로 얼마나 기록했는지가 보이면, 태깅이라는 행동이 제품과 연결된 경험으로 "
68,7 마이페이지,7.5 새 제품 태그 등록,,중간,작성중,"여행자는 마이페이지의 새 제품 태그하기를 선택한 뒤 새 MCM NFC 제품을 태깅해 해당 태그를 자신의 계정에 등록한다. 이 기능은 태그와 계정의 연결에 한정하며, 등록 이후의 촬영·핀 저장은 8번 영역에서 다룬다. [기능의 근거] 사용자는 여러 MCM 제품을 보유할 수 있고 제품을 추가로 구매하기도 한다. 등록되지 않은"
69,7 마이페이지,7.6 위치 권한 상태 확인,,중간,작성중,"여행자는 마이페이지의 계정 영역에서 현재 위치 권한 상태를 확인하고, 항목을 선택해 기기 설정으로 이동한다. 이 기능은 상태 표시와 설정 이동에 한정하며, 최초 권한 요청은 1.2에서 다룬다. [기능의 근거] 위치 권한이 꺼진 상태에서는 핀이 지도에 표시되지 않는데, 사용자는 그 원인을 기록 자체의 오류로 오해하기 쉽다."
70,8 NFC 태깅 및 핀 저장,7.6 위치 권한 상태 확인,,높음,작성중,"여행자는 MCM NFC 태그에 휴대폰을 대어 촬영을 시작하고, 촬영한 사진과 위치·시각·맥락을 하나의 핀으로 저장한다. 이 영역은 태깅 후 사진 촬영과 핀 저장·맥락 입력을 포함하며, 태깅하지 않은 사진의 자동 수집은 포함하지 않는다. 1. ○ 여행자는 NFC 태깅 후 즉시 사진을 촬영할 수 있다. 2. ○ 여행자는 촬영"
71,8 NFC 태깅 및 핀 저장,8.1 NFC 태깅 후 사진 촬영,,높음,작성중,"여행자가 MCM NFC 태그에 휴대폰을 대면 서비스가 실행되고 카메라 화면이 즉시 열려 촬영할 수 있다. 여행자는 한 세션에서 여러 장을 연속으로 촬영한 뒤 촬영 완료를 선택해 핀 저장 단계로 이동한다. 이 기능은 태깅에서 촬영 종료까지에 한정하며, 맥락 입력과 저장은 8.2에서 다룬다. [기능의 근거] 여행 중에는 손에"
72,8 NFC 태깅 및 핀 저장,8.2 핀 저장 및 맥락 입력,,높음,작성중,"여행자는 촬영을 마친 뒤 저장 완료 화면에서 텍스트 기록과 음성 메모를 남기고 핀을 저장한다. 저장된 핀은 사진, 좌표, 시각, 텍스트 기록, 음성 메모를 포함하며 추천 생성을 트리거한다. 여행자는 저장 후 홈으로 이동하거나 같은 핀에 이어서 촬영할 수 있다. [기능의 근거] 셔터를 누르게 만든 이유는 그 자리에서 붙잡지"
